,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.037498998641967776,0.011223529369854617,0.03269662857055664,0.0027006746763116912,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
1,0.022539663314819335,0.0013525220371437459,0.005385446548461914,0.0004887727967816752,0.01,0.1,linear,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'linear'}",0.7075812274368231,0.703971119133574,0.7148014440433214,0.7220216606498195,0.703971119133574,0.7104693140794224,0.007000259721900858,30
2,0.024135541915893555,0.001715989061436221,0.006183195114135742,0.0007458304849161278,0.01,0.1,poly,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'poly'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
3,0.03251290321350098,0.0027931599455108223,0.00857682228088379,0.0004879984744646097,0.01,0.1,sigmoid,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
4,0.04886794090270996,0.014508715786854505,0.043484067916870116,0.009536740772247015,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
5,0.024137306213378906,0.0013241384313163482,0.005582952499389648,0.000796641932084692,0.01,1,linear,"{'C': 0.01, 'gamma': 1, 'kernel': 'linear'}",0.7075812274368231,0.703971119133574,0.7148014440433214,0.7220216606498195,0.703971119133574,0.7104693140794224,0.007000259721900858,30
6,0.017751550674438475,0.0007463784244701836,0.004189491271972656,0.000977233717978511,0.01,1,poly,"{'C': 0.01, 'gamma': 1, 'kernel': 'poly'}",0.9314079422382672,0.9025270758122743,0.9025270758122743,0.9025270758122743,0.924187725631769,0.9126353790613718,0.012588877815279962,17
7,0.054054784774780276,0.0029185211113397945,0.013167381286621094,0.0003980518528037693,0.01,1,sigmoid,"{'C': 0.01, 'gamma': 1, 'kernel': 'sigmoid'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
8,0.07858967781066895,0.008589782220559507,0.0708122730255127,0.00549986876205091,0.01,10,rbf,"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
9,0.028723764419555663,0.0020354630397351244,0.0069827079772949215,0.001095598207491563,0.01,10,linear,"{'C': 0.01, 'gamma': 10, 'kernel': 'linear'}",0.7075812274368231,0.703971119133574,0.7148014440433214,0.7220216606498195,0.703971119133574,0.7104693140794224,0.007000259721900858,30
